case_id,case_open_date,case_close_date,channel,fraud_type,case_status,assigned_analyst,amount_at_risk_usd,recovered_amount_usd,resolution,resolution_days,linked_transaction_id,customer_id,priority,escalation_flag,sar_filed,notes
CASE-2024-0001,2024-01-22,,WIRE_INTERNATIONAL,WIRE_FRAUD,OPEN,ANL-010,450000.00,0.00,UNDER_REVIEW,,TXN-2024-00072,CUST-10024,CRITICAL,Y,Y,Offshore wire to sanctioned jurisdiction - SAR filed - awaiting LEA response
CASE-2024-0002,2024-01-22,2024-02-08,CARD_CNP,CNP_FRAUD,RESOLVED,ANL-005,1849.99,1849.99,CONFIRMED_FRAUD,17,TXN-2024-00024,CUST-10024,HIGH,N,N,Card-not-present fraud with geo anomaly to Romania - chargeback recovered
CASE-2024-0003,2024-02-13,2024-02-27,ACH_DEBIT,ACCOUNT_ABUSE,RESOLVED,ANL-007,7800.00,7800.00,CONFIRMED_FRAUD,14,TXN-2024-00054,CUST-10022,HIGH,N,N,Unauthorized ACH debit - velocity breach triggered same-day reversal
CASE-2024-0004,2024-02-23,,WIRE_INTERNATIONAL,BEC,OPEN,ANL-001,850000.00,0.00,UNDER_REVIEW,,TXN-2024-00075,CUST-10041,CRITICAL,Y,Y,Business email compromise - $850K wire to Nigeria - escalated to FinCEN
CASE-2024-0005,2024-03-06,2024-03-20,CARD_POS,COUNTERFEIT_CARD,RESOLVED,ANL-003,789.50,789.50,CONFIRMED_FRAUD,14,TXN-2024-00008,CUST-10008,MEDIUM,N,N,Counterfeit card used at 2AM - device linked to known fraud ring
CASE-2024-0006,2024-03-18,2024-04-01,DIGITAL_TRANSFER,SYNTHETIC_ID,RESOLVED,ANL-009,8750.00,8750.00,CONFIRMED_FRAUD,14,TXN-2024-00093,CUST-10023,HIGH,N,N,Synthetic identity confirmed - account opened with fabricated documents
CASE-2024-0007,2024-04-09,2024-04-24,CARD_CNP,CNP_FRAUD,RESOLVED,ANL-008,2199.00,2199.00,CONFIRMED_FRAUD,15,TXN-2024-00028,CUST-10028,HIGH,N,N,CNP fraud to Nigeria - ML model score 88.9 triggered immediate block
CASE-2024-0008,2024-04-16,2024-05-02,ACH_CREDIT,ACH_FRAUD,RESOLVED,ANL-006,28500.00,28500.00,CONFIRMED_FRAUD,16,TXN-2024-00046,CUST-10042,HIGH,N,N,Phantom payroll scheme - fictitious company name - full recovery
CASE-2024-0009,2024-04-21,2024-05-05,DIGITAL_WALLET,ATO,RESOLVED,ANL-004,3487.00,3487.00,CONFIRMED_FRAUD,14,TXN-2024-00084,CUST-10026,MEDIUM,N,N,Account takeover via credential stuffing - device mismatch flagged
CASE-2024-0010,2024-05-04,,WIRE_INTERNATIONAL,WIRE_FRAUD,OPEN,ANL-001,850000.00,0.00,UNDER_REVIEW,,TXN-2024-00075,CUST-10041,CRITICAL,Y,Y,Related to CASE-2024-0004 - additional accounts identified - expanded investigation
CASE-2024-0011,2024-05-17,2024-06-01,WIRE_DOMESTIC,WIRE_FRAUD,RESOLVED,ANL-002,245000.00,245000.00,CONFIRMED_FRAUD,15,TXN-2024-00065,CUST-10033,CRITICAL,Y,Y,Business wire fraud via compromised email - full recovery via recall
CASE-2024-0012,2024-05-24,2024-06-07,CARD_POS,SKIMMING,RESOLVED,ANL-005,1250.00,1250.00,CONFIRMED_FRAUD,14,TXN-2024-00015,CUST-10015,MEDIUM,N,N,ATM skimming device identified - card reissued - chargeback processed
CASE-2024-0013,2024-06-06,2024-06-21,CARD_CNP,STOLEN_CREDENTIALS,RESOLVED,ANL-007,3450.00,3450.00,CONFIRMED_FRAUD,15,TXN-2024-00033,CUST-10033,HIGH,N,N,Stolen credentials used to purchase luxury goods to China freight forwarder
CASE-2024-0014,2024-07-04,2024-07-19,DIGITAL_TRANSFER,MULE_NETWORK,RESOLVED,ANL-006,12500.00,10875.00,CONFIRMED_FRAUD,15,TXN-2024-00096,CUST-10045,HIGH,Y,N,Money mule network - partial recovery - 3 linked accounts identified
CASE-2024-0015,2024-07-15,,WIRE_INTERNATIONAL,WIRE_FRAUD,OPEN,ANL-010,320000.00,0.00,UNDER_REVIEW,,TXN-2024-00077,CUST-10043,CRITICAL,Y,Y,Wire fraud via Cayman shell company - freezing order issued
CASE-2024-0016,2024-08-15,2024-08-30,DIGITAL_WALLET,DEVICE_COMPROMISE,RESOLVED,ANL-003,1876.00,1876.00,CONFIRMED_FRAUD,15,TXN-2024-00088,CUST-10033,MEDIUM,N,N,Device compromise - malware on customer device - full chargeback
CASE-2024-0017,2024-08-21,2024-09-04,ACH_DEBIT,ACH_FRAUD,RESOLVED,ANL-004,5400.00,5400.00,CONFIRMED_FRAUD,14,TXN-2024-00058,CUST-10040,HIGH,N,N,ACH fraud - unknown entity - reversed within 48hr NACHA window
CASE-2024-0018,2024-09-04,2024-09-19,CARD_CNP,CNP_FRAUD,RESOLVED,ANL-008,567.99,567.99,CONFIRMED_FRAUD,15,TXN-2024-00037,CUST-10037,MEDIUM,N,N,CNP fraud to Brazil - cardholder confirmed no authorization
CASE-2024-0019,2024-09-26,,WIRE_INTERNATIONAL,WIRE_FRAUD,OPEN,ANL-001,175000.00,0.00,ESCALATED,,TXN-2024-00079,CUST-10044,CRITICAL,Y,Y,International wire to Romania - potential human trafficking red flag - law enforcement notified
CASE-2024-0020,2024-10-23,2024-11-07,DIGITAL_TRANSFER,ATO,RESOLVED,ANL-009,9800.00,9800.00,CONFIRMED_FRAUD,15,TXN-2024-00099,CUST-10046,HIGH,N,N,Account takeover - customer device mismatch - full recovery via recall
CASE-2024-0021,2024-01-05,2024-01-08,CARD_CNP,CNP_FRAUD,RESOLVED,ANL-002,234.50,234.50,CONFIRMED_FRAUD,3,TXN-2024-00021,CUST-10021,LOW,N,N,Small-value CNP fraud - rapid chargeback - no escalation required
CASE-2024-0022,2024-01-18,2024-02-02,WIRE_INTERNATIONAL,WIRE_FRAUD,RESOLVED,ANL-001,450000.00,390000.00,CONFIRMED_FRAUD,15,TXN-2024-00072,CUST-10024,CRITICAL,Y,Y,SWIFT recall successful - partial recovery $390K - $60K written off
CASE-2024-0023,2024-02-20,2024-03-06,CARD_CNP,STOLEN_CREDENTIALS,RESOLVED,ANL-006,89.99,89.99,CONFIRMED_FRAUD,15,TXN-2024-00022,CUST-10022,LOW,N,N,Low-value credential theft - customer notified - card reissued
CASE-2024-0024,2024-03-05,2024-03-19,DIGITAL_WALLET,ATO,RESOLVED,ANL-004,2345.00,2345.00,CONFIRMED_FRAUD,14,TXN-2024-00083,CUST-10018,MEDIUM,N,N,False positive confirmed - ATO alert was legitimate large transfer
CASE-2024-0025,2024-04-01,2024-04-16,CARD_CNP,CNP_FRAUD,RESOLVED,ANL-005,1678.00,1678.00,CONFIRMED_FRAUD,15,TXN-2024-00035,CUST-10035,MEDIUM,N,N,CNP fraud - IP from VPN exit node - ML model correctly flagged
CASE-2024-0026,2024-04-10,2024-04-25,WIRE_DOMESTIC,WIRE_FRAUD,RESOLVED,ANL-003,67000.00,67000.00,CONFIRMED_FRAUD,15,TXN-2024-00069,CUST-10031,HIGH,N,N,Domestic wire fraud - vendor impersonation - full wire recall
CASE-2024-0027,2024-05-08,2024-05-22,ACH_CREDIT,ACH_FRAUD,RESOLVED,ANL-007,6800.00,6800.00,CONFIRMED_FRAUD,14,TXN-2024-00049,CUST-10019,MEDIUM,N,N,Fictitious ACH credit - returned via NACHA R10 - unauthorized
CASE-2024-0028,2024-06-05,2024-06-20,CARD_POS,SKIMMING,RESOLVED,ANL-002,3456.80,3456.80,CONFIRMED_FRAUD,15,TXN-2024-00015,CUST-10015,HIGH,N,N,Multi-card skimming ring - 6 victims identified - police report filed
CASE-2024-0029,2024-06-26,2024-07-11,DIGITAL_TRANSFER,SYNTHETIC_ID,RESOLVED,ANL-008,5600.00,0.00,CONFIRMED_FRAUD,15,TXN-2024-00092,CUST-10015,HIGH,Y,N,Synthetic identity - fabricated SSN - account written off - SAR pending review
CASE-2024-0030,2024-07-06,2024-07-21,CARD_CNP,CNP_FRAUD,RESOLVED,ANL-009,4567.00,4567.00,CONFIRMED_FRAUD,15,TXN-2024-00040,CUST-10040,HIGH,N,N,Stolen card data used in Mexico - CNP fraud - chargeback recovered in full
CASE-2024-0031,2024-07-16,2024-08-01,WIRE_INTERNATIONAL,WIRE_FRAUD,RESOLVED,ANL-001,125000.00,125000.00,CONFIRMED_FRAUD,16,TXN-2024-00071,CUST-10012,HIGH,Y,N,Misdirected international wire - beneficiary bank cooperative - full recall
CASE-2024-0032,2024-08-10,2024-08-25,ACH_DEBIT,ACCOUNT_ABUSE,RESOLVED,ANL-006,3200.00,3200.00,CONFIRMED_FRAUD,15,TXN-2024-00057,CUST-10036,MEDIUM,N,N,Unauthorized ACH debit - account credentials sold on dark web
CASE-2024-0033,2024-08-20,2024-09-05,DIGITAL_TRANSFER,MULE_NETWORK,RESOLVED,ANL-005,8750.00,7875.00,CONFIRMED_FRAUD,16,TXN-2024-00093,CUST-10023,HIGH,Y,N,Money mule - 90% recovered - account closed - referral to fraud consortium
CASE-2024-0034,2024-09-10,2024-09-25,CARD_CNP,STOLEN_CREDENTIALS,RESOLVED,ANL-004,890.00,890.00,CONFIRMED_FRAUD,15,TXN-2024-00039,CUST-10039,LOW,N,N,Credential stuffing attack - password spray detected - credentials reset
CASE-2024-0035,2024-09-28,2024-10-14,WIRE_DOMESTIC,WIRE_FRAUD,RESOLVED,ANL-002,33000.00,33000.00,CONFIRMED_FRAUD,16,TXN-2024-00070,CUST-10039,HIGH,N,N,Impersonation of vendor - wire recalled within 24hr - no loss
CASE-2024-0036,2024-10-08,2024-10-23,DIGITAL_WALLET,DEVICE_COMPROMISE,RESOLVED,ANL-007,678.50,678.50,CONFIRMED_FRAUD,15,TXN-2024-00090,CUST-10007,LOW,N,N,Device compromise - SIM swap attack vector - full recovery
CASE-2024-0037,2024-10-24,2024-11-08,ACH_CREDIT,ACH_FRAUD,RESOLVED,ANL-008,12400.00,12400.00,CONFIRMED_FRAUD,15,TXN-2024-00048,CUST-10008,MEDIUM,N,N,Fictitious property management payment - NACHA reversal - no loss
CASE-2024-0038,2024-11-06,2024-11-22,CARD_CNP,CNP_FRAUD,RESOLVED,ANL-003,3450.00,3450.00,CONFIRMED_FRAUD,16,TXN-2024-00033,CUST-10033,HIGH,N,N,Repeat offender - third CNP incident - account flagged for EDD
CASE-2024-0039,2024-11-17,,WIRE_INTERNATIONAL,WIRE_FRAUD,UNDER_INVESTIGATION,ANL-010,175000.00,0.00,UNDER_REVIEW,,TXN-2024-00079,CUST-10044,CRITICAL,Y,Y,Cross-border fraud investigation - coordination with international FIU ongoing
CASE-2024-0040,2024-12-03,,DIGITAL_TRANSFER,SYNTHETIC_ID,UNDER_INVESTIGATION,ANL-009,9800.00,0.00,UNDER_REVIEW,,TXN-2024-00099,CUST-10046,HIGH,N,N,New synthetic identity scheme detected - identity forensics in progress
